SampleID,ConeAir_puff_01_mL,ConeAir_puff_02_mL,ConeAir_puff_03_mL,ConeAir_puff_04_mL,ConeAir_puff_05_mL,ConeAir_puff_06_mL,ConeAir_puff_07_mL,ConeAir_puff_08_mL,ConeAir_puff_09_mL,ConeAir_puff_10_mL,PaperAir_puff_01_mL,PaperAir_puff_02_mL,PaperAir_puff_03_mL,PaperAir_puff_04_mL,PaperAir_puff_05_mL,PaperAir_puff_06_mL,PaperAir_puff_07_mL,PaperAir_puff_08_mL,PaperAir_puff_09_mL,PaperAir_puff_10_mL,VentAir_puff_01_mL,VentAir_puff_02_mL,VentAir_puff_03_mL,VentAir_puff_04_mL,VentAir_puff_05_mL,VentAir_puff_06_mL,VentAir_puff_07_mL,VentAir_puff_08_mL,VentAir_puff_09_mL,VentAir_puff_10_mL,Circumference_cm,FilterBeforeVent_cm,FilterAfterVent_cm,TobaccoRodResistance_Pa_cm,FilterResistance_Pa_cm,NumPuffs,Tar_mg_per_cigarette,CO_mg_per_cigarette,Phenol_ug_per_cigarette
TRAIN-001,11.9678439499128,13.1677858292244,14.4800513392673,15.9110230555175,17.4654689530046,19.1455088947834,12.9885314794703,0,0,0,8.20405503297497,7.02343896197768,5.79604731237343,4.52029991469232,3.19701663570717,1.8306913250485,0.267326946556702,0,0,0,15.1407992496824,15.0030124019711,14.8319720849412,14.6194762273412,14.3553632933908,14.0271414295352,8.4441687276304,0,0,0,1.7,1.75,1.25,217.8948,316.666666666667,6.62,9.67450503220046,5.636,16.5697684364939
TRAIN-002,9.46876567589377,10.6911083600823,12.0708058789173,13.6259221351904,15.3747715207686,17.3345275080582,16.591015391407,0,0,0,10.4103213985416,9.03546136126968,7.57703193286098,6.02009990388876,4.34959343432195,2.55191357783757,0.525052989066277,0,0,0,15.7023478115697,15.6419276209255,15.5617149357834,15.4548485350187,15.3120064722787,15.1205628147114,12.6340120728145,0,0,0,1.7,1.75,1.25,223.9344,316.666666666667,6.85,9.99768423341514,5.823,14.7775360862356
TRAIN-003,10.6885876842672,11.9775490072059,13.4174014983951,15.0217093217659,16.8025783187717,18.7687682845971,7.95067332935687,0,0,0,10.3935258615779,8.98274761829378,7.494426940264,5.91807285980999,4.24469665273319,2.4688089844978,0.224763504849469,0,0,0,14.4497351041275,14.374930957873,14.2776260816606,14.1507709570565,13.9851117163905,13.7686008420667,5.12459454574776,0,0,0,1.7,1.75,1.25,203.9468,350,6.38,9.21529635995372,5.463,12.3856396650002
TRAIN-004,9.80361350691292,11.1027694746166,12.5733549514918,14.2351459867359,16.1077648270205,18.2087042047874,15.412466702153,0,0,0,11.394809271835,9.89956581305233,8.31108244752075,6.61175681145377,4.78366292409701,2.81052459563498,0.510895986539567,0,0,0,14.473165741285,14.4243862943359,14.3588668730977,14.270528845779,14.1510273375195,13.9889669446581,10.3267205568056,0,0,0,1.7,1.75,1.25,201.0004,350,6.75,9.31756726622841,5.663,12.4833392812476
TRAIN-005,10.7846873186795,12.0915075727201,13.5516554121821,15.1786736595429,16.9843883273551,18.976843964605,12.0595931346636,0,0,0,10.6091496463033,9.17015424982112,7.65166182497765,6.04285040901639,4.33448814580673,2.52104614740037,0.344244615075186,0,0,0,14.1554684508161,14.0847163878403,13.9925181897848,13.8721126268284,13.7146225581216,13.5085012253116,7.54621091993086,0,0,0,1.7,1.75,1.25,203.9045,383.333333333333,6.57,9.1496174700309,6.168,14.6884436145314
TRAIN-006,6.03181742865213,6.92711022630853,7.95878459581007,9.14827028212604,10.5202535094286,12.1028992276112,2.08916881749656,0,0,0,8.73250085773617,7.64600220413374,6.48136127726373,5.2178615717998,3.83088043784202,2.2917216142152,0.0851929500636406,0,0,0,20.8147262537376,20.7975575539935,20.7730512786536,20.7378442005624,20.6869337991559,20.6128432465765,3.07565369391265,0,0,0,1.7,1.75,1.25,250.7304,350,6.15,6.88201061090464,3.933,13.4484920936782
TRAIN-007,7.95130600477315,9.16957358429967,10.5800125822945,12.2132910535599,14.1039550674511,16.2896233729751,11.8494601301416,0,0,0,12.287067892587,10.7630059112659,9.12894892238785,7.35437603638351,5.40310833671104,3.23367343030719,0.504784904836689,0,0,0,15.6534944778002,15.641263221754,15.6228667671112,15.5950606294172,15.5528433984397,15.4885104537586,9.6958581053433,0,0,0,1.7,1.75,1.25,225.531,433.333333333333,6.63,8.50933346600225,5.26,13.6782700179029
TRAIN-008,7.65872334191705,9.09706047123449,10.8139249281863,12.8638417884934,15.3093448056291,8.56238122001049,0,0,0,0,11.9849349226021,10.1946669062231,8.24093563102502,6.06826180584031,3.60903028858303,0.369216972896314,0,0,0,0,16.2306147876761,16.2176338259588,16.1960276824746,16.1598779227375,16.0991282470475,7.51847748128023,0,0,0,0,1.7,1.75,1.25,231.9682,466.666666666667,5.47,7.30665374597467,4.957,8.94295554662262
TRAIN-009,8.5582180796156,9.49132285354479,10.5263598576234,11.6739196051119,12.9453182746907,14.3524512941332,5.88579130369895,0,0,0,6.61411640588695,5.69911674305745,4.73946767828221,3.73021916397882,2.66709763909103,1.5472135428155,0.13694109973995,0,0,0,20.093992224301,19.9758978449592,19.8273282304835,19.6399984136526,19.4032432010212,19.1033019708414,6.92728219824666,0,0,0,1.7,1.75,1.25,249.5974,316.666666666667,6.37,7.66383548276469,4.822,14.0951285013657
TRAIN-010,8.21020884485075,9.12245907317477,10.1367644416309,11.2642115095624,12.5168034353195,13.9073785851607,15.294951792412,0,0,0,6.57029397466554,5.66778912139926,4.71967369698611,3.72038680186623,2.66485157156432,1.54913842495006,0.367754652454537,0,0,0,20.4908884514428,20.3794776430213,20.2387548974888,20.0605779336541,19.8344022081042,19.5465315572437,18.9873337967242,0,0,0,1.7,1.75,1.25,254.8413,316.666666666667,6.99,8.19047357664283,5.005,14.4827421580715
